English Word,Arabic Translation (Google Translate),Basque Translation (Google Translate),Bengali Translation (Google Translate),Catalan Translation (Google Translate),Chinese (simplified) Translation (Google Translate),Chinese (traditional) Translation (Google Translate),Dutch Translation (Google Translate),Finnish Translation (Google Translate),French Translation (Google Translate),German Translation (Google Translate),Hindi Translation (Google Translate),Italian Translation (Google Translate),Japanese Translation (Google Translate),Marathi Translation (Google Translate),Persian Translation (Google Translate),Portuguese Translation (Google Translate),Romanian Translation (Google Translate),Russian Translation (Google Translate),Spanish Translation (Google Translate),Tamil Translation (Google Translate),Telugu Translation (Google Translate),Urdu Translation (Google Translate),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
cruel,قاس,cruel,নিষ্ঠুর,cruel,残酷,殘酷,wreed,julma,cruel,grausam,निर्दयी,crudele,残酷な,क्रूर,ظالمانه,cruel,crud,жестокий,cruel,கொடுமையான,క్రూరమైన,ظالمانہ,0,1,1,0,1,1,0,1,0,0
cruelly,بوحشية,krudelkeriaz,নিষ্ঠুরভাবে,amb crueltat,残酷,殘酷,wreed,julmasti,cruellement,grausam,निर्दयतापूर्वक,crudelmente,残酷に,निर्दयपणे,ظالمانه,cruelmente,crud,жестоко,con crueldad,கொடூரமாகச்,దంతాలు,cruelly کے,0,1,1,0,0,1,0,0,0,0
cruelty,قسوة,krudeltasuna,নিষ্ঠুরতা,crueltat,残酷,殘酷,wreedheid,julmuus,cruauté,Grausamkeit,बेदर्दी,crudeltà,残虐,क्रूर कृत्य,ظلم,crueldade,cruzime,жестокость,crueldad,கொடுமை,క్రూరత్వం,بیدردی,0,1,1,0,1,1,0,1,0,0
cruise,رحلة بحرية,crucero,ক্রুজ,creuer,巡航,巡航,reis,risteily,croisière,Kreuzfahrt,क्रूज,crociera,クルーズ,समुद्रपर्यटन,سفر دریایی,cruzeiro,croazieră,круиз,crucero,கப்பல்,క్రూయిజ్,کروز,0,0,0,0,0,0,0,0,0,0
cruiser,طراد,gurutzontzi,যুদ্ধপোত,creuer,巡洋舰,巡洋艦,kruiser,risteilijä,croiseur,Kreuzer,युद्ध-पोत,incrociatore,クルーザー,टेहळणीसाठी,رزمناو,cruzador,crucișător,крейсер,crucero,போர்க் கப்பல்,క్రూయిజర్,کروزر,0,0,0,0,0,0,0,0,0,0
crumb,كسرة,mamia,ক্ষুদ্র টুকরা করা,molla,屑,屑,kruimel,murunen,miette,Krume,टुकड़ा,mollica,クラム,लहानसा तुकडा,خرده,migalha,miez de pâine,крошка,miga,சிறு துண்டு,చిన్న ముక్క,crumb ہے,0,0,0,0,0,0,0,0,0,0
crumbling,تفتت,desmoronan,crumbling,enfonsament,摇摇欲坠,搖搖欲墜,afbrokkelende,murenemassa,effritement,brüchig,ढहते,cadente,ぼろぼろ,crumbling,فاسد شده,desmoronando,surpare,рушится,desmoronamiento,பிரிவதை,నాసిరకం,crumbling کے,0,1,0,0,0,0,0,1,0,0
crunch,سحق,crunch,কড়্কড়্ শব্দ,cruixit,紧缩,緊縮,knarsen,räsähdys,croquer,Knirschen,की कमी,scricchiolio,クランチ,आवाज,صدای خرد کردن یا خرد شدن چیزی زیر دندان یا زیر چرخ و غیره,crise,ronțăi,хруст,crujido,நெருக்கடி,క్రంచ్,بحران,0,1,1,0,0,0,0,0,0,0
crusade,حملة صليبية,gurutzada,ধর্মযুদ্ধ,creuada,圣战,聖戰,kruistocht,ristiretki,croisade,Kreuzzug,धर्मयुद्ध,crociata,十字軍,या लढ्यामुळे,جنگ صلیبی,cruzada,cruciadă,крестовый поход,cruzada,சிலுவைப் போரில்,ఉద్యమం,صلیبی جنگ,0,1,1,0,0,1,0,0,0,0
crush,سحق,bihurritu,পিষা,aixafar,粉碎,粉碎,verpletteren,murskata,écraser,Gedränge,क्रश,schiacciare,クラッシュ,क्रश,له شدن,esmagamento,zdrobi,раздавить,aplastar,ஈர்ப்பு,ప్రేమను,چاہنے والوں کی,0,0,0,0,0,0,0,0,0,0
crushed,مهروس,birrindu,চূর্ণ,aixafat,碎,碎,verpletterd,murskattu,écrasé,gebrochen,कुचल,schiacciato,破砕されました,ठेचून,خرد,esmagado,zdrobit,раздавленный,aplastado,நொறுக்கப்பட்ட,పిండిచేసిన,پسے,0,1,1,0,1,1,0,1,0,0
crushing,الساحق,birrintzeko,নিষ্পেষণ,aclaparadora,破碎,破碎,breken,murskaava,écrasement,vernichtend,मुंहतोड़,schiacciamento,押しつぶします,निर्णायक,خرد کردن,esmagador,zdrobitor,дробление,aplastante,நசுக்கிய,అణిచివేయడం,کرشنگ,0,1,1,0,1,1,0,0,0,0
crust,القشرة,lurrazal,খড়ি,escorça,痂,痂,korst,kuori,croûte,Kruste,पपड़ी,crosta,地殻,कवच,پوسته,crosta,crustă,кора,corteza,மேலோடு,క్రస్ట్,کرسٹ,0,0,0,0,0,0,0,0,0,0
crusty,قشري,zarakartsuz,কর্কশ,cruixent,硬皮,硬皮,korstig,kärttyisä,croustillant,knusprig,crusty,irascibile,無愛想な,तुसडा,خشن,rabugento,iritabil,твердый,crujiente,தோல் உடைய,కరకరలాడే,پیچ مخمصہ,0,1,0,0,1,0,0,0,0,0
crutch,عكاز,makulua,খঁজের যষ্টি,crossa,拐杖,拐杖,kruk,kainalosauva,béquille,Krücke,बैसाखी,stampella,松葉杖,आधार,چوب زیر بغل,muleta,cârjă,костыль,muleta,ஊன்றுகோலாக,ఊతకర్ర,بیساکھی,0,0,0,0,0,0,0,0,0,0
crux,صلب الموضوع,Gurutzea,জটিল সমস্যা,quid,症结,癥結,moeilijkheid,ydin,nœud,Kern,जड़,punto cruciale,最も重要な点,महत्वाचा मुद्दा,معما,ponto crucial,enigmă,суть,quid,அம்சமான,ఆయువుపట్టు,بنیادی نکتہ,0,0,0,0,0,0,0,0,0,0
cry,صرخة,oihu,কান্না,plorar,哭,哭,schreeuw,itkeä,pleurer,Schrei,रोना,piangere,叫び,मदतीची हाक,فریاد,chora,strigăt,плакать,grito,அழுகை,క్రై,فریاد,0,1,0,0,0,0,0,1,0,0
crying,بكاء,negarrez,কান্দা,plorant,哭,哭,huilen,huutava,pleurs,Schreien,रो रही है,pianto,号泣,रडत,گریان,chorando,plâns,плач,llanto,அழுவதை,ఏడుపు,رونا,0,1,0,0,0,0,0,1,0,0
crypt,سرداب,kriptan,সমাধিগৃহ,cripta,地穴,地穴,crypt,krypta,crypte,Krypta,तहखाना,cripta,陰窩,crypt,دخمه,cripta,criptă,склеп,cripta,மறைவான,గోరీ,کے Crypt,0,1,0,0,0,1,0,1,0,0
cryptic,خفي,críptica,রহস্যপূর্ণ,críptic,神秘,神秘,cryptische,arvoituksellinen,sibyllin,geheimnisvoll,गुप्त,misterioso,不可解な,गुप्त,مرموز,oculto,ascuns,загадочный,críptico,ரகசிய,నిగూఢ,خفیہ,0,0,0,0,0,0,0,0,0,0
cryptography,التشفير,cryptography,ক্রিপ্টোগ্রাফি,criptografia,加密,加密,geheimschrift,salakirjoitus,cryptographie,Geheimschrift,क्रिप्टोग्राफी,crittografia,暗号学,क्रिप्टोग्राफी,رمز نویسی,criptografia,criptografie,криптография,criptografía,குறியாக்கவியல்,క్రిప్టోగ్రఫీ,خفیہ نگاری,0,0,0,0,0,0,0,0,0,0
crystal,بلور,Kristal,স্ফটিক,vidre,水晶,水晶,kristal,kristalli,cristal,Kristall,क्रिस्टल,cristallo,クリスタル,क्रिस्टल,کریستال,cristal,cristal,кристалл,cristal,படிக,క్రిస్టల్,کرسٹل,1,0,0,0,0,0,0,0,0,0
crystalline,بلوري,kristalinoa,অচ্ছ,cristal·lí,结晶,結晶,kristallijne,kiteinen,cristalline,kristallin,क्रिस्टलीय,cristallino,結晶の,स्फटिकासारखे,بلورین,cristalino,cristalin,кристаллический,cristalino,படிக,స్ఫటికాకార,کرسٹل,0,0,0,0,0,0,0,0,0,0
crystallization,تبلور,Kristalizazio,দানা বাঁধা,cristal·lització,结晶,結晶,kristallisatie,kiteytys,cristallisation,Kristallisieren,क्रिस्टलीकरण,cristallizzazione,結晶化,स्फटिकरुप,تبلور,cristalização,cristalizare,кристаллизация,cristalización,வடிவமேயாகும்என்று,స్ఫటికీకరణ,crystallization کے,0,0,0,0,0,0,0,0,0,0
cub,جرو الثعلب,cub,পশুশাবক,cadell,幼兽,幼獸,welp,poikanen,cub,Junge,पशुशावक,cucciolo,カブ,"कोल्हा, लांडगा, सिंह, अस्वल किंवा वाघ यांचा छावा किंवा पिल्लू",توله,filhote,pui,детеныш,cachorro,குட்டி,పిల్ల,کب,0,0,0,0,0,0,0,0,0,0
cube,مكعب,Kuboa,ঘনক্ষেত্র,cub,立方体,立方體,kubus,kuutio,cube,Würfel,घनक्षेत्र,cubo,キューブ,घन,مکعب,cubo,cub,куб,cubo,கன,క్యూబ్,کیوب,0,0,0,0,0,0,0,0,0,1
cubicle,مهجع من عدة مهاجع,cubicle,শয়নকক্ষ,cubicle,柜,櫃,cubicle,koppi,cabine,Kabine,कक्ष,cubicolo,キュービクル,लहान शय्यागृह,اطاقک,cubículo,nișă,кабина,cubículo,அறைகள்,క్యూబికల్,کمرے,0,0,0,0,0,0,0,0,0,0
cuckold,مكعباني شبيه بالمكعب,ibilaldiak,অসতীপতি,banyut,乌龟,烏龜,hoorndrager,aisankannattaja,mari trompé,Hahnrei,व्यभिचारी पति,becco,不貞の妻を持った夫,छिनाल स्त्रीचा पती,شوهر زن زانیه,corno,încornorat,рогоносец,cornudo,பெண்ணின்,cuckold,CUCKOLD,0,1,0,0,1,0,0,0,0,0
cuckoo,أبله,kuku,কোকিল,cucut,布谷鸟,布穀鳥,koekoek,käki,coucou,Kuckuck,कोयल,cuculo,カッコウ,कोकिळा,فاخته,cuco,cuc,кукушка,cuco,குயில்,కోకిల,کویل,0,1,0,0,0,0,0,0,0,0
cuddle,عناق,cuddle,আলিঙ্গন করা,abraçada,偎,偎,knuffelen,halata,caresse,schmusen,आलिंगन,coccolare,寄り添います,कुरवाळणे,در اغوش گرفتن,chamego,îmbrățișa,прижиматься,abrazo,அரவணைப்பு,గట్టిగా కౌగిలించుకొనుట,cuddle میں,1,0,0,0,0,0,1,0,0,1
cue,جديلة,cue,সূত্র,senyal,球杆,球桿,keu,vihje,queue,Stichwort,संकेत,stecca,キュー,सूचना,صف,deixa,tac,кий,señal,கோல்,క్యూ,کیو,0,0,0,1,0,0,0,0,0,0
cuff,صفعة,cuff,চপেটাঘাত,maneguet,袖口,袖口,manchet,mansetti,manchette,Manschette,कफ़,polsino,カフ,अनाधिकृत व उत्स्फूर्त,دکمه سر دست,canhão,manșetă,манжета,manguito,சுற்றுப்பட்டை,కఫ్,کف,0,0,0,0,0,0,0,0,0,0
cuisine,مطبخ,sukaldaritza,রন্ধনপ্রণালী,cuina,烹饪,烹飪,keuken,keittiö,cuisine,Küche,व्यंजन,cucina,料理,खाद्यप्रकार,غذا,cozinha,bucătărie,кухня,cocina,உணவு வகைகளும்,వంటకాలు,کھانا,0,0,0,0,0,0,0,0,0,0
culinary,مطبخي,sukaldaritza,রন্ধনসম্পর্কীয়,culinari,烹饪,烹飪,culinaire,kulinaarinen,culinaire,kulinarisch,पाक,culinario,料理の,स्वयंपाकासाठी योग्य,مربوط به اشپزخانه,culinária,culinar,кулинарный,culinario,சமையல்,పాక,پاک,1,0,0,0,0,0,0,0,0,1
cull,قطف,Cull,নির্বাচন করা,rebuig,扑杀,撲殺,ruiming,teurastaa,cueillir,pflücken,चुनना,cogliere,カル,वेचणे,جمع اوری کردن,refugo,strânge,отбирать,desecho,முட்டாள்,కల్,cull کی,0,1,0,0,0,0,0,0,0,0
culminate,تكبد,amaituko,সর্বোচ্চ সীমা পৌঁছান,culminar,高潮,高潮,culmineren,huipentua,culminer,gipfeln,culminate,culminare,終わります,कळस,به اوج رسیدن,culminar,culmina,Кульминацией,culminar,மிகவும் உச்சமடைந்திருக்கும்,ముగిసి,اختتام پذیر,0,0,0,0,0,0,0,0,0,0
culmination,أوج,gailurra,চরম,culminació,大成,大成,culminatie,huippukohta,culmination,Höhepunkt,परिणति,culmine,南中,कळस,اوج,culminação,culme,кульминация,culminación,உச்சக்கட்டம்,ఉన్నతస్థితి,پنتتی,1,0,0,0,0,0,0,0,0,0
culpability,الملومية,erruduntasuna,নিন্দনীয়তা,culpabilitat,有罪,有罪,schuldigheid,syyllisyydestä,culpabilité,Schuld,दोषी,colpevolezza,有罪,गुन्हा,مجرمیت,culpabilidade,culpabilitate,виновность,culpabilidad,குற்றச்சாட்டிலிருந்து,అపరాధం,مجرم,0,1,0,0,0,0,0,0,0,0
culpable,جدير باللوم,culpable,নিন্দনীয়,culpable,应受谴责,應受譴責,schuldig,moitittava,coupable,schuldhaft,सदोष,colpevole,責められるべき,परळी,مقصر,culpável,vinovat,виновный,culpable,இதற்கு உடந்தையாக,దోషపూరిత,مجرم,0,1,0,0,0,0,0,0,0,0
culprit,مجرم,erruduna,অভিযুক্ত ব্যক্তি,culpable,罪魁祸首,罪魁禍首,schuldige,syyllinen,coupable,Täter,अपराधी,colpevole,問題の原因,गुन्हेगार,مقصر,culpado,inculpat,преступник,culpable,குற்றவாளி,నేరస్థుడు,مجرم,0,1,0,0,0,0,0,0,0,0
cult,عبادة,gurtza,অর্চনা,culte,礼拜,禮拜,cultus,kultti,culte,Kult,पंथ,culto,カルト,भक्ती,فرقه,culto,cult,культ,culto,வழிபாட்டு,కల్ట్,فرقے,0,1,0,0,0,1,0,0,0,0
cultivate,زرع,lantzen,চাষ করা,conrear,培育,培育,verbouwen,viljellä,cultiver,kultivieren,विकसित करना,coltivare,育てます,जोपासणे,کشت کردن,cultivar,cultiva,культивировать,cultivar,விளைவிக்கவும்,పండించడం,کاشت,1,0,0,1,0,0,0,0,0,1
cultivated,مزروع,landatutako,কর্ষিত,cultivat,耕,耕,bewerkt,viljelty,cultivé,kultiviert,खेती की,coltivato,栽培,लागवड,کشت,cultivado,cultivat,культурный,cultivado,சாகுபடி,సాగు,کاشت,1,0,0,0,0,0,0,0,0,0
cultivation,زراعة,laborantza,চাষ,cultiu,养殖,養殖,teelt,viljely,cultivation,Anbau,खेती,coltivazione,栽培,लागवड,کشت,cultivo,cultivare,выращивание,cultivo,சாகுபடி,సాగు,کاشت,1,0,0,0,0,0,0,0,0,0
culture,ثقافة,kultura,সংস্কৃতি,cultura,文化,文化,cultuur,kulttuuri,culture,Kultur,संस्कृति,cultura,文化,संस्कृती,فرهنگ,cultura,cultură,культура,cultura,கலாச்சாரம்,సంస్కృతి,ثقافت,1,0,0,0,0,0,0,0,0,0
culvert,بربخ,culvert,সাঁকো,claveguera,涵洞,涵洞,duiker,holvirumpu,caniveau,Abwasserkanal,पुलिया,canale sotterraneo,カルバート,रेल्वे,نهر سرپوشیده,bueiro,canal de scurgere,кульверт,alcantarilla,மதகு,కల్వర్టులు,پلیا,0,0,0,0,0,0,0,0,0,0
cumbersome,ثقيل,astuna,কষ্টকর,incòmode,笨重,笨重,hinderlijk,hankala,encombrant,schwerfällig,बोझिल,ingombrante,面倒な,अवजड,سنگین,pesado,împovărător,громоздкий,incómodo,கடினமான செயலாக,గజిబిజిగా,بوجھل,0,1,0,0,0,0,0,1,0,0
cumulus,قزع,Cumulus,ঘনঘটা,cúmul,积云,積雲,stapelwolk,kumpupilvi,cumulus,Kumulus,Cumulus,cumulo,積雲,ढीग,توده,cúmulo,cumulus,кучевые облака,cúmulo,குவி,మేఘ శకలాలు,سے Cumulus,0,0,0,0,0,0,0,0,0,0
cunning,مكر,maltzurrak,ধূর্ত,astúcia,狡猾,狡猾,sluw,ovela,rusé,List,चालाक,astuzia,狡猾な,कावेबाज,حیله گری,astuto,viclean,хитрость,astucia,தந்திரமான,మోసపూరిత,ہوشیار,1,1,0,0,0,0,0,0,0,0
cup,كوب,cup,কাপ,tassa,杯,杯,beker,cup,Coupe,Tasse,कप,coppa,カップ,कप,فنجان,copo,ceașcă,чашка,taza,கப்,కప్,کپ,0,0,0,0,0,0,0,0,0,0
cupboard,خزانة,armairu,আলমারি,rebost,橱柜,櫥櫃,kast,kaappi,placard,Schrank,अलमारी,credenza,食器棚,कपाट,گنجه,armário,dulap,шкаф,armario,அலமாரியில்,అల్మరా,الماری,0,0,0,0,0,0,0,0,0,0
cupping,الحجامة,cupping,রক্তমোক্ষক কাচপ্রয়োগ,catació,拔罐,拔罐,cupping,kuppaus,ventouses,Schröpfen,चषक प्रयोग,coppettazione,吸角法,कपींग,بادکش,sangria,ventuze,применение банок,catación,கோப்பையிடப்படுவதைக்,గిన్నె వంటి గుంట అగుట,سنگی,0,1,0,0,1,1,0,1,0,0
cur,لئيم,cur,ইতর লোক,canalla,CUR,CUR,cur,rakki,cabot,Köter,चालू,cur,駄犬,सद्य,سگ دورگه,vira-lata,javră,дворняжка,canalla,நடப்பு,ప్రస్తుత,رائج,0,1,1,0,1,1,0,0,0,0
curable,قابل للشفاء,curable,আরোগ্যসাধ্য,curable,固化,固化,genezen,parannettavissa oleva,curable,heilbar,इलाज,curabile,硬化性,बरा,علاج پذیر,curável,vindecabil,излечима,curable,குணப்படுத்தக்கூடிய,ఉపశమనం పొందవచ్చు,قابل علاج,1,0,0,0,0,0,0,0,0,1
curate,قسيس,komisario,সহকারী যাজক,cura,策展,策展,kapelaan,kappalainen,vicaire,Kaplan,उपपादरी,curato,牧師補,मदतनीस,معاون کشیش بخش,pároco auxiliar,preot,викарий,cura,பாதிரி,పూనుకున్నాడు,کشش بنانا,0,0,0,0,0,0,0,0,0,0
curative,علاجي,sendatzaile,আরোগ্যক্ষম,curatiu,治病的,治病的,genezend,parantava,curatif,kurativ,रोगनिवारक,curativo,治癒的な,निवारक,دارای خاصیت درمانی,curativo,curativ,лечебный,curativo,நோய் நீக்கும்,నివారణ,اپچاراتمک,0,0,0,0,0,0,0,0,0,0
curator,القيم على,komisario,অধ্যক্ষ,curador,馆长,館長,curator,kuraattori,conservateur,Kurator,क्यूरेटर,curatore,キュレーター,क्युरेटर,موزه دار,curador,custode,куратор,curador,பொறுப்பாளரின்,క్యురేటర్,کیوریٹر,0,0,0,0,0,0,0,0,0,0
curb,كبح,Curb,প্রতিবন্ধক,vorada,路边,路邊,beteugelen,hillitä,gourmette,Randstein,फुटपाथ,frenare,縁石,अंकुश,محدود کردن,freio,bordură,обочина,bordillo,கட்டுப்படுத்து,కాలిబాటలు,روکنے,0,0,0,0,0,0,0,0,0,0
curd,تخثر,mamia,দই,quallada,凝乳,凝乳,wrongel,rahka,fromage blanc,Quark,दही,cagliata,カード,दही,کشک,coalhada,brânză dulce,творог,cuajada,தயிர்,పెరుగు,دہی,0,0,0,0,0,0,0,0,0,0
curfew,حظر التجول,etxeratze,নিষ্প্রদীপ,toc de queda,宵禁,宵禁,avondklok,ulkonaliikkumiskielto,couvre-feu,Sperrstunde,निषेधाज्ञा,coprifuoco,門限,संचारबंदी,مقررات حکومت نظامی وخاموشی در ساعت معین شب,toque de recolher,stare de asediu,комендантский час,toque de queda,ஊரடங்கு உத்தரவு,కర్ఫ్యూ,کرفیو,0,0,0,0,0,0,0,0,0,0
curiosity,فضول,jakinmina,কৌতুহল,curiositat,好奇心,好奇心,nieuwsgierigheid,uteliaisuus,curiosité,Neugier,जिज्ञासा,curiosità,好奇心,कुतूहल,حس کنجکاوی,curiosidade,curiozitate,любопытство,curiosidad,ஆர்வத்தை,ఉత్సుకత,تجسس,1,0,0,1,0,0,0,0,1,0
curl,حليقة,curl,কার্ল,ris,卷曲,捲曲,curl,curl,boucle,curl,कर्ल,ricciolo,カール,वलय,حلقه,ondulação,curl,локон,rizo,சுருட்டை,కర్ల్,curl کے,1,0,0,0,0,0,0,0,0,0
curling,متجعد,curling,কুঁচিতকরণ,curling,冰壶,冰壺,curling,curling,curling,Eisschießen,कर्लिंग,arricciatura,カーリング,कर्लिंग,پیچش یا حلقه زنی,ondulação,curling,керлинг,curling,கர்லிங்,కర్లింగ్,کرلنگ,0,0,0,0,0,0,0,0,0,0
currency,عملة,moneta,মুদ্রা,moneda,货币,貨幣,valuta,valuutta,devise,Währung,मुद्रा,valuta,通貨,चलन,پول,moeda,valută,валюта,moneda,நாணய,కరెన్సీ,کرنسی,0,0,0,0,0,0,0,0,0,0
current,تيار,oraingoa,বর্তমান,corrent,当前,當前,stroom,nykyinen,courant,Strom,वर्तमान,corrente,現在,वर्तमान,جریان,atual,curent,Текущий,corriente,தற்போதைய,ప్రస్తుత,موجودہ,0,0,0,0,0,0,0,0,0,0
curriculum,المناهج الدراسية,curriculum,পাঠ্যক্রম,pla d'estudis,课程,課程,leerplan,opetussuunnitelma,programme d'études,Lehrplan,पाठ्यक्रम,programma scolastico,カリキュラム,अभ्यासक्रम,برنامه تحصیلی,currículo,curriculum,программа,plan de estudios,பாடத்திட்டத்தை,పాఠ్య ప్రణాళిక,نصاب,0,0,0,0,0,0,0,0,0,0
curry,كاري,curry,কারি,curri,咖喱,咖哩,kerrie,curry,curry,Curry,करी पत्ता,curry,カレー,कढीपत्ता,کاری,Curry,curry,карри,curry,கறி,కూర,سالن,0,0,0,0,0,0,0,0,0,0
curse,لعنة,madarikazio,অভিশাপ,maledicció,诅咒,詛咒,vloek,kirous,malédiction,Fluch,अभिशाप,maledizione,呪い,शाप,لعنت,maldição,blestem,проклятие,maldición,சாபம்,శాపం,لعنت ہے,0,1,1,0,1,1,0,1,0,0
cursed,ملعون,madarikatua,অভিশপ্ত,maleït,诅咒,詛咒,vervloekt,kirottu,maudit,verflucht,शापित,maledetto,のろわれました,त्यांचे वाईट होईल ते,ملعون,amaldiçoado,blestemat,проклял,maldito,சபித்தார்,నిందించారు,لعنت کر,0,1,1,0,0,1,0,1,0,0
cursing,اللعن,cursing,অভিশাপ,maleint,咒骂,咒罵,gevloek,kirous,la malédiction,Fluchen,कोस,imprecando,のろいです,शापही,لعن,maldição,blestemare,проклиная,maldiciendo,திட்டுவதில்,cursing,لعنت,0,1,1,0,1,0,0,0,0,0
cursory,سطحي,azaletik,দ্রুত,superficial,走马,走馬,vluchtig,pintapuolinen,superficiel,flüchtig,सतही,frettoloso,ぞんざいな,वरवरचा,سرسری,apressado,superficial,беглый,superficial,மேம்போக்கான,తొందరలో,سرسری,0,1,0,0,0,0,0,0,0,0
curt,جاف,curt,সংক্ষিপ্ত,brusc,简短的,簡短的,kortaf,tyly,brusque,schroff,रूखा,asciutto,素っ気ありません,तुसडा,کوتاه و مختصر,brusco,scurt,резкий,brusco,கர்ட்,కర్ట్,روھا,0,0,0,0,0,0,0,0,0,0
curtail,بتر,curtail,হ্রাস করা,retallar,缩短,縮短,beperken,supistaa,réduire,beschneiden,घटाना,limitare,抑えます,कमी,کوتاه کردن,cercear,reduce,сокращать,cercenar,குறைக்கும்,తగ్గిస్తుంటే,کمی,0,0,0,0,0,0,0,0,0,0
curtailment,تقليص,murrizketa,সংক্ষিপ্তকরণ,reducció,削减,削減,inkorting,supistaminen,réduction,Beschneidung,कटौती,riduzione,縮小,काटछाट,انقطاع,redução,reducere,сокращение,reducción,குறைக்கப்பட்டும்,తగ్గింపు,تخفیف,0,0,0,0,0,0,0,0,0,0
curtain,ستارة,gortina,পরদা,cortina,窗帘,窗簾,gordijn,verho,rideau,Vorhang,परदा,tenda,カーテン,पडदा,پرده,cortina,perdea,занавес,cortina,திரை,పరదా,پردے,0,0,0,0,0,0,0,0,0,0
curvature,انحناء,kurbatura,বক্রতা,curvatura,曲率,曲率,kromming,kaarevuus,courbure,Krümmung,वक्रता,curvatura,曲率,वक्रता,انحنا,curvatura,curbură,кривизна,curvatura,வளைவு,వక్రత,گھماو,0,0,0,0,0,0,0,0,0,0
curve,منحنى,kurba,বাঁক,corba,曲线,曲線,curve,käyrä,courbe,Kurve,वक्र,curva,カーブ,वक्र,منحنی,curva,curbă,кривая,curva,வளைவு,వక్రత,وکر,0,0,0,0,0,0,0,0,0,0
curved,منحن,makurrak,বাঁকা,corb,弯,彎,gebogen,kaareva,courbe,gebogen,वक्र,curvo,湾曲しました,वक्र,منحنی,curvo,curb,изогнутый,curvo,வளைந்த,వక్ర,مڑے ہوئے,0,0,0,0,0,0,0,0,0,0
curvilinear,منحني الأضلاع,mugimenduetara,বক্ররেখা-বেষ্টিত,curvilínia,曲线,曲線,kromlijnig,kaareva,curviligne,krummlinigen,वक्रीय,curvilineo,曲線の,वक्ररेषांनी युक्त,خمیده,curvilíneo,curbiliniu,криволинейный,curvilínea,வளைகோட்டு,కిందనుంచి,curvilinear,0,0,0,0,0,0,0,0,0,0
cushion,وسادة,kuxin,গদি,coixí,坐垫,坐墊,kussen,tyyny,coussin,Kissen,तकिया,cuscino,クッション,उशी,کوسن,almofada,pernă,подушка,cojín,குஷன்,పరిపుష్టి,کشن,1,0,0,0,0,0,0,0,0,0
cusp,نتوء,izkina bihur,শিখর,cúspide,风口浪尖,風口浪尖,cusp,kärki,cuspide,Spitze,cusp,cuspide,カスプ,अणकुचीदार टोक,نوک هلال,cúspide,vârf,выступ,cúspide,கூரான முனை,దంతాగ్రం,بلندیوں کو چھونے,0,0,0,0,0,0,0,0,0,0
cussed,العناد,pasartean eztabaidatuta-,বেয়াড়া,cussed,倔强,倔強,koppig,itsepäinen,juré,verflucht,चर्चा हुई,maledetto,cussed,हेकेखोर,نفرین شده,maldito,îndărătnic,упрямый,cussed,cussed,cussed,بحث,0,0,1,0,0,0,0,0,0,0
custodian,حافظ,Custodio,জিম্মাদার,custodi,保管人,保管人,bewaarder,hoitaja,gardien,Wächter,संरक्षक,custode,管理人,पालक,نگهبان,zelador,custode,хранитель,custodio,பாதுகாப்பாளர்,సంరక్షకుడు,ابرکشک,0,0,0,0,0,0,0,0,0,1
custody,حبس,zaintza,হেফাজত,custòdia,保管,保管,hechtenis,huolto,garde,Sorgerecht,हिरासत,custodia,親権,ताब्यात,حبس,custódia,custodie,хранение,custodia,காவலில்,అదుపు,حراست,0,0,0,0,0,0,0,0,0,1
custom,عرف,Ohiko,রীতি,personalitzat,习惯,習慣,gewoonte,asiakassuhde,coutume,Brauch,रिवाज,abitudine,カスタム,सानुकूल,سفارشی,personalizadas,obicei,обычай,costumbre,விருப்ப,కస్టమ్,اپنی مرضی کے مطابق,0,0,0,0,0,0,0,0,0,0
customary,عرفي,ohiturazko,গতানুগতিক,acostumat,习惯性,習慣性,gebruikelijk,tavanomainen,coutumier,üblich,प्रथागत,consueto,慣用,नेहमीचा,مرسوم,consuetudinário,obișnuit,обычный,acostumbrado,வழக்கமாக,ఆచార,روایتی,0,0,0,0,0,0,0,0,0,0
customer,زبون,bezero,ক্রেতা,client,顾客,顧客,klant,asiakas,client,Kunde,ग्राहक,cliente,顧客,ग्राहक,مشتری,cliente,client,клиент,cliente,வாடிக்கையாளர்,కస్టమర్,کسٹمر,1,0,0,0,0,0,0,0,0,0
cut,قطع,ebaki,কাটা,tallar,切,切,gesneden,leikkaus,coupe,Schnitt,कटौती,taglio,カット,कट,برش,corte,tăiat,порез,cortada,வெட்டு,కట్,کٹ,0,0,0,0,0,0,0,0,0,0
cutaneous,جلدي,dermatologikoak,চার্ম,cutani,皮肤,皮膚,huid-,ihon,cutané,Haut-,त्वचीय,cutaneo,皮膚の,त्वचेचा,جلدی,cutânea,cutanat,кожный,cutáneo,சரும,చర్మసంబంధమైన,cutaneous,0,0,0,0,0,0,0,0,0,0
cute,جذاب,cute,চতুর,valent,可爱,可愛,schattige,söpö,mignon,süß,प्यारा,carino,可愛いです,गोंडस,زیبا,fofa,drăguț,милый,lindo,அழகான,అందమైన,خوبصورت,1,0,0,0,0,0,0,0,0,0
